lambda1,ATF2,ATF3,BATF,BCL11A,BCL3,BCLAF1,BHLHE40,BRCA1,C-FOS(FOS),C-MYC(MYC),CEBPB,CHD1,COREST,CPGISLANDS,CTCF,DNASE,E2F4,EBF1,EGR1,ELF1,ELK1,ETS1,EZH2,FAIRE,FOXM1,GABP(GABPA),GCN5,H2A.Z,H3K27AC,H3K27ME3,H3K36ME3,H3K4ME1,H3K4ME2,H3K4ME3,H3K79ME2,H3K9AC,H3K9ME3,H4K20ME1,IKZF1,IRF3,IRF4,JUND,MAX,MAZ,MEF2A,MEF2C,MTA3,MXI1,NFATC1,NFE2,NFIC,NFKB,NFYA,NFYB,NRF1,P300(EP300),PAX5,PBX3,PHASTCONS,PML,POL2(POLR2A),POL3(POLR3G),POU2F2,PU.1(SPI1),RAD21,RFX5,RUNX3,RXRA,SIN3A,SIX5,SMC3,SP1,SPT20(SUPT20H),SRF,STAT1,STAT3,STAT5A,TAF1,TBLR1(TBL1XR1),TBP,TCF1,TCF3,TR4(NR2C2),USF1,USF2,WHIP(WRNIP1),YY1,ZBTB33,ZEB1,ZNF143,ZNF274,ZNF384,ZZZ3,
0.0,-0.20481,0.15459739,0.003263589,9.2251576e-05,-0.0008897154,-6.6620174e-05,-0.5171378,-2.9054441e-05,0.00018881066,-0.00038229855,0.00056840054,-0.0001758262,-0.00022502615,4.310692e-05,-0.00039513293,-0.0018160053,0.00023903536,3.679261e-05,0.00016255506,-0.0006298187,-2.593585e-05,4.693176e-05,-0.00018407176,0.00012459542,-0.17156911,-0.000108698005,1.6614897e-05,-0.00010519754,0.32402605,0.00010251644,-0.00027675752,-0.00014774187,0.70267767,-0.0016218459,0.0003661127,-0.6756942,-5.4380766e-05,5.887405e-05,-0.0001541799,-0.0002449542,-0.00012336805,-0.00027788198,-2.0115578e-05,-9.551825e-05,-0.0002983454,-1.2046075e-05,0.00010395225,8.87537e-05,-0.0008738701,7.3728734e-06,0.00013154559,0.0006305008,-0.00022191973,0.0007276256,-0.00014225444,-0.0002917139,-0.4840605,0.0002888727,3.601334e-05,0.00046389195,-0.00025660126,-0.0003138081,-0.00033348936,-0.00038077252,-0.46864575,0.00010476302,-0.0006254433,-0.00026993695,8.2635685e-05,0.0011510777,-0.00020898922,4.608347e-05,0.00011943863,0.00026677368,0.00027538798,-0.00026282965,-0.00033100534,-0.00031098074,-5.357276e-05,0.00012168937,-0.00020620109,0.40072933,1.5639918e-05,0.00015368732,-0.77116835,0.0002589302,0.00032508367,0.00034905277,0.00027027584,5.6463992e-05,0.00023092434,4.3286112e-05,0.00017313464,
0.002,-0.18552695,0.15558077,0.00052264775,-0.00045989765,-0.4157249,8.708812e-05,-0.52452517,0.00014963749,0.00034496695,8.902054e-05,-0.00039578375,0.0005135319,-0.00017386448,-0.0002328536,-0.07208518,0.21010783,-0.00030163955,0.0006112113,0.00027552282,0.0011067147,-0.0007766506,-0.0005202529,-0.00010104512,-0.00027562963,0.00079194544,-0.0004204901,0.00039229204,-0.00022289163,0.35731584,-3.5166857e-05,1.1525117e-07,0.0005305554,0.73641634,-0.00092339894,-0.00035788474,0.6504536,0.00040638668,-0.00034340966,0.00022233906,-6.38745e-05,0.00016833926,-0.00032451184,0.00018711464,-0.00038771817,-0.10875211,0.00028983637,0.12543958,-0.0006085804,-0.000100444966,9.183667e-05,-0.00059742224,-7.5054864e-05,2.4724257e-05,0.00018177346,0.00060631393,-0.0025243037,-0.000103122875,-0.0010811384,0.00012240965,0.0008393658,0.00015283728,6.7925546e-05,-0.00037938732,-0.0017290679,0.50728524,-5.7002e-06,-0.00047755343,-0.00032019988,2.1825734e-05,-0.21097231,-2.0827429e-06,0.0002512724,0.00011692374,-0.021990329,0.0004741737,-0.0003138122,0.00078205095,-6.637015e-05,0.00035558414,-4.1376305e-05,0.0002816587,0.00065275666,-0.00017199815,-5.4183474e-06,-0.82548934,0.0004058323,0.00028957683,1.3785029e-05,0.000985729,0.00041714913,0.0001286481,-0.0007528827,0.00019305447,
0.004,-0.2026529,0.2053376,-0.0032922372,0.0006201378,0.36094803,6.954177e-05,-0.5710931,-0.0003340243,-0.00014347336,-0.0005003138,0.00032037648,0.000117914984,0.00018605831,-7.803558e-05,-0.000210289,0.0003931807,0.0004997652,0.0007228004,0.00027620097,-0.15010905,0.0010614229,0.0025187724,-0.00016756705,0.000117307834,0.22773127,-0.00022271747,0.0003464992,-0.018721124,-0.33846486,-0.00016034092,-0.00025621522,-0.0020084912,-0.694228,0.00040254823,0.0032391446,0.6315105,-0.00038634212,-0.00022506947,0.00021889064,0.00012693043,0.001459425,-9.587513e-05,0.00015722585,0.00036990835,0.001810198,-0.00081015297,-0.051874883,-0.00045930277,-0.00074112404,4.1857013e-05,-0.0015477255,0.00075704005,-4.1451378e-05,-0.0034987275,0.0001485362,0.0041606757,0.40076032,0.00054401805,-0.0001481288,-0.0005435276,0.0004798923,-0.00036981795,0.00042546977,-0.0030933842,0.49010575,0.00015281592,-0.0001954088,-0.0013371827,0.00058237393,0.002546336,0.0004551287,0.00078886404,-0.0011866943,-0.0010072934,-0.0008084313,0.00025967264,-0.00041097685,0.00093728735,0.000114204566,-0.00026793938,0.00080577045,-0.0015763347,-0.00020594965,0.0013857014,0.7947893,0.00018700049,0.0012407843,0.0020572299,-0.004487673,-0.00034195877,-2.591961e-05,0.00023727419,-0.00010836363,
0.006,-0.14307514,-0.18974254,5.3021882e-05,0.00023808652,0.00022607815,0.0004018644,-0.47742552,0.00039931064,-0.00015330774,-0.0001616399,-5.928101e-06,-0.00015581865,0.0008919834,0.00011162934,0.0014516219,-0.00024488862,-0.00015353924,-0.00035051745,0.00011773135,0.00054289604,-0.0014061187,-0.27275246,0.00014828879,-0.00012264297,-0.38986778,0.00046341633,-0.0006849873,-0.0006187395,0.29507956,-0.000110488094,-0.00032027118,4.2834843e-05,0.71298516,0.00058584986,-0.00010369602,0.6851778,-4.8672984e-05,1.2044795e-05,0.00017946957,-0.0002845307,-0.0004155829,-0.0001858567,7.784518e-06,-0.0003492994,0.006572307,0.000530995,-0.00030083046,6.159913e-05,0.00032146194,-0.00014324913,0.00062858505,-0.0003243328,-9.298936e-05,-0.29200852,-0.00017941973,-0.0026940107,0.48153394,0.00014382869,0.00012882738,-0.00028978067,0.0006061029,0.00018023708,-0.00061559374,0.000820947,-0.61230916,0.00023999828,0.00029177807,0.18663965,5.1022856e-05,-0.0014785137,8.748036e-05,-0.0001182922,0.0007883977,-7.027469e-06,0.00022105369,-0.00013246041,0.0026389027,-0.00039320765,0.00028688303,9.9006254e-05,0.00016377497,-0.00014864467,0.0004913303,0.0032280055,0.0055420278,0.00026320727,0.00025335728,0.00012844236,-0.00033646025,1.0266915e-05,-0.00029026385,-4.8561196e-05,1.4950841e-05,
0.008,0.16617294,-0.1616717,6.919216e-05,-0.00029443362,-0.31870893,0.0006619334,0.48204842,0.0004769219,-0.0002952088,-0.0004802986,-0.0009574363,0.00020189243,0.0005743514,-0.00013323753,-0.010074443,-0.00040893498,-0.0018375396,-0.00069842354,-0.0004399923,0.0001405313,4.9099515e-05,-0.00015568618,0.0002663751,0.001225311,-0.3787283,-0.0002814217,-0.0007552706,0.17562823,-0.32598978,-2.1224318e-05,-0.00030339084,-0.001922347,0.3714277,0.0021491756,-0.078572154,-0.4630997,5.1437208e-05,-0.0006527609,-0.00041961775,0.0001421982,0.0013657056,0.0001556451,1.8707608e-05,-1.3935991e-05,-0.0011745858,0.00030520908,-0.01805583,0.00033437158,-0.00014724133,-0.00031026875,0.0013109475,-0.0026160805,0.00019501612,0.20413989,-0.0002797034,0.0017750557,-0.47009724,-0.0003713037,-2.765999e-05,-0.0011530402,-0.00034594588,0.00010265093,-0.00025032426,-0.33533904,0.4953351,-0.00026340297,-0.00021334345,0.20493701,-0.0006687523,0.005647983,0.00039318675,0.0002785666,-0.001999172,2.9119401e-05,-6.506748e-05,0.0006264957,-0.00034300634,0.00020214461,0.0007499995,4.427092e-05,0.0007336783,-0.00027112765,-3.298631e-05,-0.00069831265,-0.73648036,-7.405938e-05,0.0015186921,0.00059297244,0.00035668042,-0.0005045602,0.00020009372,-0.0005574291,-2.0453837e-05,
0.01,0.15167364,0.16015,-0.21892737,-3.8954313e-05,-0.3035527,0.00031681184,-0.51104826,7.793019e-05,-0.00020482873,-0.00026257438,0.000659272,3.560452e-05,0.0005950426,0.000252061,0.09207929,-0.0003161718,-0.0013188864,0.00017857795,0.0003141719,0.008338036,-0.00041451817,0.2522294,0.00013402004,-5.5292563e-05,0.057927653,0.00038631682,0.00020893638,0.27304348,-0.30841872,1.9065628e-06,-0.0003337475,-0.00027113868,0.77336276,-0.0015374334,0.0012999715,-0.57178736,0.00017439641,-1.3294331e-05,0.00017437126,-6.2138744e-05,0.0001874278,-6.814762e-05,6.225686e-05,0.00019600661,0.0005280984,-0.0003426769,0.1107762,-0.00019222588,6.8623456e-05,-0.00091356377,0.00091432815,-0.00017821719,0.00012332085,0.00043705702,0.00021612883,0.000423589,0.0014655985,-3.801413e-05,-0.00015456667,0.00032376774,0.0004040317,0.00042561354,0.0007022776,-0.060281146,-0.48710358,-0.00018365985,0.0002968216,-0.0972185,-1.1011201e-05,-0.36775494,-0.0001615611,-0.00028598896,0.0013488174,0.0002968001,0.00036517077,-0.00015044125,1.8397346e-05,1.7358689e-06,-0.00016997833,-3.8473314e-05,-0.00018644077,0.00078427116,7.4843105e-05,-0.00094400544,0.7457642,-9.4080664e-05,-0.0002908209,-0.00023737884,-0.0005151074,0.00039449095,0.0003613331,0.00010550159,-0.00021146862,
0.012,-0.21617264,0.19714148,-4.5879802e-05,0.0010579365,0.33280817,-0.00016129689,-0.5465071,-6.643636e-05,0.00010840909,-0.00038347213,0.00052382756,-0.00023119448,0.00026043752,4.816233e-05,-0.0051371306,0.00034405186,-0.0010759931,0.00025061105,0.00043250932,0.00045528653,-0.0014767556,0.0002279284,0.0001655956,0.00016718777,0.18584211,-0.00039130106,-0.0001566234,-0.0055422466,0.33163038,0.00025209517,-8.4268046e-05,0.19201928,-0.597059,-7.485738e-06,0.0014192482,0.6268845,0.0005102481,4.5217224e-05,-2.6679292e-05,8.721287e-05,0.003360993,-0.00013081972,9.762886e-05,0.00022412196,-0.00010634566,-5.792515e-05,-0.005791822,-0.00053302344,-0.0004461659,0.00075941323,0.00014226104,9.1836526e-05,0.00020599399,-0.25878736,-0.00017824538,-0.0016211086,-0.3395016,3.1097647e-05,-1.3790399e-05,0.0005973439,-0.0006096626,-0.00018655506,0.00029953622,4.3259584e-05,-0.4587166,0.00022584475,-0.00028033854,-0.093630835,-0.00018834972,0.0057494394,0.00035830567,0.00081992074,-3.5830148e-05,-0.0016240152,-0.00027630542,-0.00011016795,-0.0016042854,-0.0002494336,-0.00018498144,0.0002902314,-0.0004338018,-0.40507632,-0.0014580407,0.026212974,-0.70615506,0.000116088515,0.00011136044,0.00035957992,-0.0009512927,-0.0002968738,-7.958074e-05,9.987538e-05,-4.3291715e-05,
0.014,-0.15695603,0.15845422,-0.0012422581,9.665641e-05,0.005241772,-0.15706137,0.50059736,-0.000569314,-0.0001486598,-5.0825183e-06,0.0025848607,0.000380299,-0.00020639744,-8.898716e-05,0.0012379924,0.00031107815,0.00019679757,-0.00022247678,9.0374786e-05,-0.00047316408,-0.0011073371,-9.265903e-06,9.23733e-05,-0.00068073,-0.3503881,-5.686347e-05,0.0003161623,-0.0004076452,-0.39854178,0.00019226412,-0.00016236087,-0.0007079767,-0.6445696,-0.00067633356,3.2794604e-05,-0.6312695,-4.5206078e-05,-0.00025868253,3.464133e-05,-0.00024332199,0.0038610145,-0.000522858,0.0010651662,0.0002544389,0.002382352,-2.690449e-05,-0.10864836,-0.0009931216,0.0004201986,0.0004969762,0.000680374,0.002027499,-0.000303098,-0.00023057898,-0.00030970835,-0.002377855,0.5134127,0.00049143215,-2.152301e-06,0.0005430112,0.0005380337,0.18379273,-0.00014595091,0.0021899366,-0.5737626,-9.8257704e-05,-4.891245e-05,-0.24074763,0.0011959062,0.0086568985,-0.0003247972,0.00018926765,0.0005378828,-0.0029067271,0.00027477788,6.9866015e-05,-0.0017221272,0.0005561993,-9.977714e-05,-0.00042787718,-0.0006690861,0.43753842,0.0004972309,-8.224006e-05,-0.11000603,3.454488e-05,-0.000986633,-0.00060635083,0.00039980517,-0.00012179604,0.00045103364,0.0004989431,0.00010488162,
0.016,-0.18856731,0.19071232,-0.43727338,0.00013533773,6.597486e-05,-0.0015856088,0.51253,-9.6919655e-05,0.00019429805,-0.0002791616,-0.00027238988,0.00057060167,-0.000286269,-8.719439e-05,0.11692117,-4.5559427e-05,-0.000722321,-0.0007992961,0.00012744975,2.5767135e-05,-0.00028381997,-0.0009488261,0.00015576385,0.00012916955,0.023700826,0.00013882844,-0.0003402006,0.31198338,-0.29346928,-0.00033929566,-9.888002e-05,-0.0033231154,0.7693991,-0.00052272633,0.0010109332,-0.6148062,-9.940361e-05,0.00029853036,0.0001303041,-0.00014451504,-0.0036165272,-4.141229e-05,-4.518195e-05,0.00016007069,-0.0002076202,-0.00021515033,0.000118659715,4.228577e-05,0.0013387094,-0.0007251992,-0.00059781247,5.1585725e-05,0.00032180746,0.0003845191,-0.000106923675,0.00737193,-0.00015785405,-0.000264518,1.892628e-05,-0.00013911343,0.00012905255,0.00013357544,0.00021526442,0.0030428204,-0.47531813,-0.00015130689,-7.318158e-05,-0.000304577,9.848141e-05,-0.005957587,-0.00015108685,-0.0002571092,-0.00056524924,-0.0012751856,0.00017994927,-4.2417494e-05,2.1835585e-05,-0.00029233337,0.00031435656,-6.448047e-05,0.00021920932,0.42893052,0.0004742017,2.859006e-05,-0.8163912,0.00017566975,-0.0012026401,0.0012203648,-0.00010166051,0.00022649152,0.00021335148,2.4191497e-05,2.7513655e-05,
0.018000000000000002,-0.20768246,-0.20343795,-0.0001969148,-0.00039507353,-0.3666037,0.00031769165,-0.48640284,2.8746916e-05,8.100603e-05,-0.0009060768,8.725215e-05,-0.00038616115,2.2619875e-05,0.00023237627,0.0005926187,0.0006635941,-0.00016800854,-0.0005931636,-0.00038013898,-0.0010837115,4.2266198e-05,0.19807945,2.7554488e-05,-7.982434e-05,0.16151334,-0.00014408532,-8.9045425e-06,0.00052420585,-0.33062816,0.00026374665,0.00013931852,9.5454394e-05,-0.6323235,-0.00063568424,-0.0004707193,0.5737279,-0.00031442905,-9.392576e-05,0.0003785384,0.00010860046,-0.00070736546,8.2125334e-05,7.436595e-05,0.00034893933,-0.00081354583,-0.0021653604,0.00019507614,9.997262e-05,0.00012347098,7.4275275e-05,-0.0003874441,-0.00037865416,2.2741733e-06,-0.001920715,-0.00033317038,0.0012287188,0.3249278,0.0005388782,-8.226761e-05,-0.00013598657,-0.004748836,-0.0011309945,6.043684e-05,-0.00042192754,0.45798805,-3.2966607e-05,-1.8987135e-05,0.1438846,-0.00017630198,-0.0005969316,4.5334353e-05,3.672196e-05,-0.0008983372,-0.00026655965,7.878087e-06,2.4188907e-05,-0.00087632856,0.0004034096,-0.00012431001,-0.000485492,-4.833017e-05,-0.3492642,-0.00013810434,0.14701317,-0.68005896,0.00035242536,-0.00059718534,0.0010244629,4.9585098e-05,0.00014540908,0.00013186011,-0.00017633117,6.040727e-05,
