genes,values
log_1stFlrSF,0.28729102
2ndFlrSF,0.23136693
GarageArea,0.11463737
LotArea,0.111583896
YearRemodAdd,0.09327849
Neighborhood_Crawfor,0.08891706
ScreenPorch,0.08394259
Fireplaces,0.073101886
KitchenQual_Ex,0.060031027
SaleCondition_Abnorml,0.05559766
BldgType_1Fam,0.05281018
MSZoning_FV,0.051982522
WoodDeckSF,0.05178954
Condition1_Norm,0.046469454
BsmtExposure_Gd,0.043319356
BsmtQual_Ex,0.039109875
GarageCond_Fa,0.037735164
PavedDrive_Y,0.034222063
HasGarage,0.03158698
SaleCondition_Partial,0.02878315
MSZoning_RM,0.027498657
FireplaceQu_Gd,0.022545317
MSZoning_RL,0.021885399
Foundation_BrkTil,0.014150585
BsmtCond_TA,0.012785894
Foundation_PConc,0.011486681
ExterQual_TA,0.010238905
BsmtFinType1_Unf,0.009980115
Neighborhood_CollgCr,0.009519832
GarageCars,0.00861235
GarageType_Attchd,0.007205296
MasVnrType_Stone,0.004809754
MasVnrType_None,0.001704223
GarageFinish_Unf,0.001183327
ExterCond_Gd,0.000687058
GarageFinish_NotApplicable,0.000665831
Exterior1st_Plywood,0.000479291
Heating_GasA,0.000396441
BsmtFinType2_Unf,0.000384674
