genes,values
gene_0,7.11E-06
gene_1,1.07E-05
gene_2,4.97E-05
gene_3,-2.64E-05
gene_4,-1.41E-05
gene_5,-1.68E-05
gene_6,2.25E-05
gene_7,-1.38E-05
gene_8,1.54E-05
gene_9,1.55E-06
gene_10,1.63E-05
gene_11,1.74E-05
gene_12,-2.95E-05
gene_13,7.94E-06
gene_14,-1.64E-05
gene_15,-3.70E-06
gene_16,1.22E-05
gene_17,-1.29E-06
gene_18,0.2762157
gene_19,-2.07E-05
gene_20,5.00E-06
gene_21,-8.29E-06
gene_22,-3.35E-05
gene_23,-4.01E-06
gene_24,2.00E-05
gene_25,-9.95E-06
gene_26,2.32E-06
gene_27,-2.20E-05
gene_28,-6.12E-06
gene_29,9.65E-06
gene_30,0.07587
gene_31,-2.47E-05
gene_32,-1.08E-05
gene_33,-1.30E-06
gene_34,-4.19E-05
gene_35,2.21E-05
gene_36,-1.85E-05
gene_37,1.94E-05
gene_38,1.00E-05
gene_39,-0.013697677
gene_40,-1.01E-05
gene_41,1.17E-05
gene_42,7.30E-06
gene_43,2.39E-05
gene_44,0.012228771
gene_45,2.48E-05
gene_46,-1.49E-05
gene_47,-5.31E-06
gene_48,3.75E-05
gene_49,-8.29E-06
gene_50,-4.14E-06
gene_51,2.67E-05
gene_52,-2.75E-05
gene_53,5.30E-06
gene_54,9.30E-06
gene_55,0.03672495
gene_56,-2.85E-05
gene_57,-9.50E-06
gene_58,-1.14E-05
gene_59,-2.77E-05
gene_60,2.29E-05
gene_61,0.007448547
gene_62,-1.73E-05
gene_63,-5.28E-06
gene_64,3.22E-06
gene_65,1.46E-05
gene_66,9.28E-06
gene_67,-0.0947411
gene_68,-1.09E-05
gene_69,-2.31E-05
gene_70,-1.50E-05
gene_71,-8.84E-07
gene_72,-2.27E-05
gene_73,-3.42E-05
gene_74,4.97E-06
gene_75,-1.30E-05
gene_76,4.41E-06
gene_77,-2.12E-05
gene_78,-1.21E-05
gene_79,3.68E-07
gene_80,1.64E-05
gene_81,-1.10E-05
gene_82,-2.78E-05
gene_83,-0.21538535
gene_84,1.32E-05
gene_85,-2.89E-05
gene_86,-2.11E-05
gene_87,0.007077207
gene_88,-2.34E-05
gene_89,-1.68E-05
gene_90,2.05E-05
gene_91,0.02480958
gene_92,-0.012380444
gene_93,-3.54E-05
gene_94,0.32396287
gene_95,2.69E-06
gene_96,-1.61E-05
gene_97,-2.28E-05
gene_98,9.95E-06
gene_99,-3.62E-07
gene_100,2.57E-05
gene_101,-8.58E-06
gene_102,-2.23E-05
gene_103,5.39E-06
gene_104,-1.32E-05
gene_105,-7.76E-06
gene_106,-3.32E-06
gene_107,-3.42E-05
gene_108,1.05E-05
gene_109,-7.22E-06
gene_110,-1.99E-05
gene_111,-2.89E-05
gene_112,-2.76E-05
gene_113,-1.61E-05
gene_114,-5.23E-06
gene_115,-8.31E-06
