genes,values
33,0.022146769
99,0.02160017
122,0.02175225
134,0.07678288
148,0.045997843
184,0.044674773
309,0.04877502
339,0.017239625
357,0.6683366
380,0.022989567
449,0.029052429
487,0.040904805
539,0.117978394
654,0.018136358
669,0.029173562
684,0.029902492
707,0.20157513
742,0.37009835
747,0.036847625
749,0.02505192
753,0.058563575
763,0.020344114
768,0.036728453
819,0.06500973
864,0.039621837
1189,0.033958524
1191,0.123156995
1203,0.020856546
1278,0.0367163
1317,0.048657015
1337,0.034841932
1338,0.08363329
1347,0.055141587
1374,0.036391094
1448,0.08379588
1485,0.024115259
1520,0.018821942
1566,0.02048264
1617,0.0388246
1679,0.036299456
1727,0.11766139
1784,0.102079116
1858,0.0746911
1896,0.032463897
1917,0.035957556
1991,0.07676132
2163,0.020006616
2172,0.01810462
2237,0.023845257
2248,0.025809428
2271,0.034135647
2318,0.050598864
2321,0.021979727
2356,0.04426006
2396,0.024124825
2542,0.03355374
2730,0.028246019
2732,0.020034298
2792,0.029406045
2811,0.01612612
2879,0.095405996
2951,0.11194657
2955,0.021981472
3035,0.01993445
3148,0.03983529
3161,0.022452476
3200,0.024785727
3211,0.09977631
3363,0.02216388
3439,0.05873054
3440,0.018677829
3458,0.054897677
3492,0.037952267
3539,0.024855351
3546,0.020359479
3680,0.031917308
3782,0.016659083
3829,0.09597576
3860,0.08818458
3889,0.019890517
4057,0.115658715
4061,0.026860155
4089,0.026739025
4143,0.03249999
4156,0.032525275
4178,0.032520533
4180,0.019762494
4209,0.038940016
4224,0.02006693
4247,0.018633643
4289,0.09787015
4378,0.059097666
4392,0.026425526
4409,0.056481734
4422,0.1349918
4426,0.0671393
4478,0.046455465
4480,0.03595028
4581,0.022996265
4599,0.112302646
4617,0.35247758
4618,0.28511497
4629,0.05372627
4789,0.024782287
4849,0.026052289
4866,0.11830964
4881,0.036336165
4885,0.07099883
4901,0.022076258
4953,0.06438124
5015,0.032148127
5110,0.03699054
5296,0.018653022
5361,0.02075812
5443,0.026698697
5523,0.13788024
5544,0.029270528
5573,0.0256557
5590,0.06733329
5641,0.02962227
5655,0.020707259
5666,0.022407448
5815,0.05292075
5820,0.024977686
5873,0.023759644
5934,0.048700627
5994,0.02753344
6041,0.15688194
6050,0.024858132
6060,0.017016176
6077,0.02249765
