genes,values
123,0.05511949
332,0.049204912
352,0.13033962
472,0.13950111
697,0.049631365
736,0.087686084
740,0.09270356
845,0.38064808
894,0.06583993
1033,0.04935992
1105,0.06533068
1800,0.70186216
1809,0.08213081
1839,0.05472986
2037,0.3639062
2083,0.068708695
2237,0.17742757
2261,0.06389562
2279,0.14842212
2448,0.17458399
2638,0.2414798
2725,0.049866933
2909,0.120068006
3080,0.06753068
3134,0.1112465
3217,0.1858552
3219,0.23069884
3229,0.062565856
3461,0.083362706
3524,1.8359244
3542,0.053844012
3567,0.29504567
3620,0.052433513
3764,0.07596054
3816,0.07077046
3931,0.09265083
4159,0.077346906
4479,0.12060933
4526,0.08006688
4580,0.1567503
4885,0.052419197
5040,0.065601
5158,0.17120358
5194,0.05006817
5256,0.09935977
5351,0.064195365
5407,0.0813386
5410,0.14749189
5539,0.054529823
6380,0.077976845
6468,0.056522716
6487,0.10163273
6720,0.25606245
6817,0.11275246
7042,0.06886276
7369,0.09737376
7438,0.1895762
7667,0.047805104
7965,0.28887555
7992,0.07780246
8023,0.10083066
8024,0.11730213
8028,0.05016481
8139,0.06750502
8331,0.0857044
8819,0.06366579
9111,0.05279728
9542,0.3079843
9564,0.07443878
9652,0.06753207
9660,0.048991397
9963,0.06386632
10224,0.062004633
10246,0.060133602
10257,0.059902694
10266,0.14711146
10393,0.052597057
10411,0.058315173
10420,0.07819835
10506,0.15522014
10734,0.060755756
11059,0.08556235
11087,0.06846093
11349,0.17031261
11449,0.31246856
11652,0.14254035
11888,0.05466972
11910,0.05234709
12013,1.0690755
12018,0.12507287
12033,0.04989842
12079,0.14002135
13019,0.073508896
13024,0.077153236
13063,0.05958413
13098,0.0761487
13210,0.14487267
13223,0.054539908
13456,0.055833213
13459,0.05711995
13484,0.07513099
13592,0.18482326
13941,0.06883638
14194,0.0758007
14199,0.32104087
14480,0.05083456
14596,0.05682254
14793,0.048122328
14969,0.076043606
15038,0.056659535
15613,0.057295494
16337,0.24326779
16406,0.107948095
16443,0.052505028
16955,0.051634487
16974,0.07681776
17378,0.05005362
17395,0.10163964
17836,0.2737872
17837,0.54230684
17929,0.051737364
18065,0.06916596
18175,0.05606341
18191,0.077109836
18383,0.10034032
18460,0.061445534
18594,0.07512214
18632,0.098350346
18676,0.058196913
18746,0.12468872
18810,0.06121519
