genes,values
30,0.022800008
62,0.050601956
216,0.04312685
357,0.040740173
399,0.042810503
864,0.022499561
871,0.027984755
970,0.12089773
1218,0.024480116
1339,0.075865686
1544,0.026975803
1567,0.03193275
1733,0.027995095
1737,0.055504702
2101,0.02255479
2248,0.045504723
2324,0.07018321
2330,0.070812285
2469,0.027949803
2506,0.4264229
2507,0.04002491
2645,0.05163033
2778,0.04567701
3216,0.12844853
3222,0.071081996
3241,0.062412266
3310,0.062741324
3375,0.05668509
3540,0.10332208
3836,0.18354446
3887,0.053638678
3996,0.032707863
4001,0.023512421
4011,0.05365973
4161,0.04491032
4208,0.036553357
4247,0.026115911
4476,0.21301536
5009,0.13126019
5010,0.07396325
5060,0.11230331
5093,0.041719805
5230,0.028613934
5422,0.026833694
5513,0.026861021
5575,0.024398165
5733,0.023082603
6160,0.1046785
6183,0.033124585
6318,0.05218035
6332,0.06948562
6369,0.1568344
6410,0.0793877
6429,0.035498496
6542,0.025379498
6687,0.059877288
6902,0.025966998
6926,0.03199913
7079,0.02643306
7152,0.028011125
7295,0.02899444
7558,0.061845105
7611,0.039766546
7623,0.0897813
7789,0.032062273
8013,0.07228626
8165,0.034523938
8220,0.12743858
8221,0.09978131
8255,0.025486581
8316,0.033197064
8384,0.02562694
8431,0.040895335
8477,0.04201148
8680,0.027542725
8742,0.029170113
8804,0.24606806
9001,0.12526678
9176,0.045662593
9234,0.02945569
9238,0.03941841
9331,0.10349648
9394,0.0285521
9467,0.023516212
9643,0.025542185
9747,0.03344192
9753,0.02485723
10395,0.0986661
10674,0.09812022
11249,0.029588021
11267,0.02613452
11309,0.033016007
11354,0.15039143
11362,0.025393372
11391,0.03266979
11888,0.08109092
11909,0.050991807
12073,0.049946476
12159,0.048721988
12224,0.049074356
12737,0.02284198
13223,0.047358055
13298,0.046575792
13379,0.028190708
13459,0.091568135
13511,0.030762697
13696,0.031137586
14052,0.06998667
14104,0.047501966
14180,0.042846266
14314,0.023568252
14386,0.04098736
14838,0.026217256
14953,0.040149987
15373,0.04237599
15444,0.054946493
15591,0.03278844
15633,0.17087819
15681,0.059084166
15895,1.3123016
15896,0.721126
16084,0.023565875
16239,0.1354199
16393,0.09011479
16436,0.022741765
17394,0.1283672
17526,0.028926471
17907,0.04817806
17993,0.10133374
18056,0.055665776
18090,0.03425049
