genes,values
89,0.03877752
203,0.09724569
204,0.04712246
319,0.06930512
664,0.044580672
858,0.043576498
951,0.09887337
1058,0.049119487
1096,0.24731705
1148,0.035238348
1149,0.20311998
1215,0.03721774
1421,0.033751227
1530,0.052982368
1704,0.03501532
1774,0.037171237
1784,0.087244585
1860,0.05662014
1905,0.045798182
2054,0.65497035
2233,0.04597977
2303,0.24245834
2373,0.045197412
2730,0.03671125
2831,0.038689025
2886,0.10192892
2928,0.037273683
3245,0.04798902
3285,0.042476945
3300,0.041335475
3425,0.0670108
3434,0.16133527
3445,0.03750131
3620,0.03492339
3730,0.3515151
3737,0.25478524
4020,0.047158416
4060,0.042568013
4581,0.07001888
5031,0.034429185
5143,0.057244852
5275,0.04075862
5430,0.03811448
6036,0.058176745
6070,0.0683467
6072,0.091925934
6286,0.041095056
6485,0.046486653
6555,0.03900462
6720,0.04975057
6784,0.06477848
6836,0.04518348
6875,0.09817893
6937,0.40028068
7021,0.03446868
7040,0.06738563
7169,0.03570981
7234,0.08231286
7258,0.035445638
7509,0.062181227
7628,0.037079226
7738,0.043913696
7992,0.04795483
8003,0.053522356
8004,0.08013601
8014,0.14621814
8024,0.09007497
8031,0.08362433
8076,0.04837245
8086,0.072773024
8213,0.08518658
8486,0.045634724
8616,0.16074847
8788,0.17475544
8826,0.06790722
9051,0.07183207
9097,0.0515074
9173,0.30620682
9175,1.1578821
9176,1.4579337
9204,0.039225336
9639,0.036311954
10215,0.04685107
10242,0.037290253
10594,0.04847263
10720,0.044192612
11026,0.033643078
11388,0.25882298
11772,0.07044866
11781,0.038917545
11910,0.11727033
12062,0.034332763
12069,0.23217288
12110,0.04144709
12211,0.03600159
12267,0.044604942
12848,0.42405188
13161,0.10650545
13246,0.059506927
13314,0.055389002
13505,0.033036735
13517,0.053081702
13707,0.05242694
13743,0.03937583
13809,0.08904541
14383,0.049309943
14390,0.05206844
14523,0.17301714
14570,0.04554811
14865,0.06046839
14866,0.12119005
14875,0.03383282
14883,0.06307797
14983,0.037942644
15126,0.04370755
15176,0.05894558
15301,0.18983613
15409,0.033289928
15431,0.06039601
15500,0.03358765
15959,0.03527154
16064,0.044956714
16194,0.057800047
16249,0.05269532
16318,0.106560074
16449,0.079622105
16559,0.2774845
16786,0.045612894
16991,0.04136189
17048,0.18459368
17131,0.044321194
17166,0.04367162
17168,0.66065645
17441,0.13149689
17458,0.041740417
17522,0.13213499
17785,0.0416885
17948,0.058513507
18052,0.046915304
18135,1.1187911
18726,0.03447778
18753,0.2524969
18906,0.11632816
19193,0.2926172
19296,0.047415186
19313,0.1057397
20276,0.051754978
20339,0.0499734
