feature,weight
MSSubClass,0.010637579
LotFrontage,0.009618665
LotArea,0.23036382
OverallQual,0.3522718
OverallCond,0.27096945
YearBuilt,0.2017833
YearRemodAdd,0.11332439
MasVnrArea,0.11169927
BsmtFinSF1,0.11815501
BsmtFinSF2,0.11321926
BsmtUnfSF,0.033504114
TotalBsmtSF,0.13748176
log_1stFlrSF,0.23146716
2ndFlrSF,0.11332684
LowQualFinSF,0.022978436
log_GrLivArea,0.39142144
BsmtFullBath,0.13986532
BsmtHalfBath,0.05589504
FullBath,0.19377847
HalfBath,0.0880912
BedroomAbvGr,0.040500674
KitchenAbvGr,0.15084545
TotRmsAbvGrd,0.16926366
Fireplaces,0.006190833
GarageYrBlt,0.09116061
GarageCars,0.022397414
GarageArea,0.21532902
WoodDeckSF,0.121906266
OpenPorchSF,0.16102973
EnclosedPorch,0.066468395
3SsnPorch,0.10060515
ScreenPorch,0.10704028
PoolArea,0.057216723
MoSold,0.0288004
YrSold,0.0387694
HasLotFrontage,0.0021551573
HasBsmt,0.13746242
HasPool,0.10400435
HasGarage,0.12091799
MSZoning_C (all),0.016442178
MSZoning_FV,0.11158659
MSZoning_I (all),0.123970926
MSZoning_RH,0.08010299
MSZoning_RL,0.11940655
MSZoning_RM,0.022023715
Street_Grvl,0.10140115
Street_Pave,0.23446514
Alley_Grvl,0.061062116
Alley_NotApplicable,0.11069208
Alley_Pave,0.11464329
LotShape_IR1,0.031771053
LotShape_IR2,0.035959587
LotShape_IR3,0.0011956503
LotShape_Reg,0.080808386
LandContour_Bnk,0.020648526
LandContour_HLS,0.108079836
LandContour_Low,0.018727668
LandContour_Lvl,0.10989735
Utilities_AllPub,0.040049642
Utilities_NoSeWa,0.11164975
Utilities_NoSewr,0.012652295
LotConfig_Corner,0.03580985
LotConfig_CulDSac,0.14171526
LotConfig_FR2,0.049790848
LotConfig_FR3,0.0007266084
LotConfig_Inside,0.0406904
LandSlope_Gtl,0.009117791
LandSlope_Mod,0.05566235
LandSlope_Sev,0.033176757
Neighborhood_Blmngtn,0.07907841
Neighborhood_Blueste,0.094735555
Neighborhood_BrDale,0.04228187
Neighborhood_BrkSide,0.13503362
Neighborhood_ClearCr,0.009488454
Neighborhood_CollgCr,0.09205899
Neighborhood_Crawfor,0.15943858
Neighborhood_Edwards,0.0056277183
Neighborhood_Gilbert,0.114587605
Neighborhood_Greens,0.1124498
Neighborhood_GrnHill,0.044134635
Neighborhood_IDOTRR,0.00033285606
Neighborhood_Landmrk,0.019517194
Neighborhood_MeadowV,0.06475919
Neighborhood_Mitchel,0.00222383
Neighborhood_NAmes,0.09117499
Neighborhood_NPkVill,0.033223398
Neighborhood_NWAmes,0.13524336
Neighborhood_NoRidge,0.09688647
Neighborhood_NridgHt,0.10485857
Neighborhood_OldTown,0.07651435
Neighborhood_SWISU,0.0022765144
Neighborhood_Sawyer,0.029937688
Neighborhood_SawyerW,0.10008684
Neighborhood_Somerst,0.026384855
Neighborhood_StoneBr,0.12813315
Neighborhood_Timber,0.10012846
Neighborhood_Veenker,0.13081685
Condition1_Artery,0.0690999
Condition1_Feedr,0.041909702
