feature,weight
gene_0,1.630632e-05
gene_1,1.8617424e-05
gene_2,3.579913e-06
gene_3,4.704903e-05
gene_4,1.292695e-05
gene_5,4.5197117e-05
gene_6,1.6831444e-05
gene_7,4.207373e-05
gene_8,2.8615832e-05
gene_9,4.196172e-06
gene_10,2.7424467e-06
gene_11,1.9146704e-05
gene_12,3.3911543e-05
gene_13,1.0250391e-05
gene_14,2.2023902e-05
gene_15,3.6295096e-05
gene_16,1.09665525e-05
gene_17,4.214445e-05
gene_18,9.7461125e-06
gene_19,1.4591878e-05
gene_20,3.0921365e-05
gene_21,2.5171008e-05
gene_22,4.848503e-05
gene_23,4.6589445e-05
gene_24,9.2105e-06
gene_25,1.6038808e-05
gene_26,1.3939865e-05
gene_27,3.436825e-05
gene_28,1.2373155e-05
gene_29,1.18768985e-05
gene_30,4.3915385e-05
gene_31,8.802988e-06
gene_32,7.1699105e-07
gene_33,4.8066406e-05
gene_34,2.1444055e-05
gene_35,3.7357655e-05
gene_36,2.7801692e-05
gene_37,1.509361e-07
gene_38,5.699661e-05
gene_39,2.9746883e-05
gene_40,4.5024983e-05
gene_41,3.5011017e-05
gene_42,2.1332744e-06
gene_43,2.4937755e-05
gene_44,1.2600336e-05
gene_45,3.7149213e-05
gene_46,2.1279873e-05
gene_47,1.1652461e-05
gene_48,2.5781366e-05
gene_49,1.3554745e-05
gene_50,8.769086e-06
gene_51,4.136751e-05
gene_52,1.39666445e-05
gene_53,3.3436565e-05
gene_54,4.168127e-05
gene_55,1.0318614e-05
gene_56,3.0138497e-05
gene_57,3.429634e-05
gene_58,3.2682565e-05
gene_59,1.3916542e-06
gene_60,2.961373e-06
gene_61,2.1708402e-05
gene_62,1.1526528e-05
gene_63,2.0936644e-05
gene_64,2.5176269e-07
gene_65,1.1957021e-05
gene_66,2.9744988e-06
gene_67,3.162816e-05
gene_68,3.054338e-07
gene_69,2.2865614e-05
gene_70,8.0752216e-08
gene_71,2.5655165e-05
gene_72,1.8928022e-05
gene_73,4.118308e-05
gene_74,4.0956125e-05
gene_75,3.8447284e-05
gene_76,4.0831037e-05
gene_77,4.0093633e-05
gene_78,5.5283235e-06
gene_79,2.4123183e-05
gene_80,7.90217e-06
gene_81,2.9899373e-05
gene_82,4.249692e-05
gene_83,4.9092356e-05
gene_84,3.6100915e-05
gene_85,2.2105101e-05
gene_86,4.0370225e-05
gene_87,1.4382102e-05
gene_88,3.2726894e-06
gene_89,8.91108e-06
gene_90,2.3275665e-05
gene_91,1.8060076e-05
gene_92,1.842438e-05
gene_93,2.895758e-05
gene_94,6.741535e-06
gene_95,1.7955474e-05
gene_96,3.957338e-05
gene_97,3.9489296e-05
gene_98,6.186725e-06
gene_99,3.81118e-05
gene_100,1.8765786e-05
gene_101,2.5124067e-05
gene_102,3.6558948e-05
gene_103,2.420347e-05
gene_104,3.736792e-05
gene_105,1.8218598e-06
gene_106,6.026239e-06
gene_107,4.2747055e-05
gene_108,3.182404e-05
gene_109,2.2133812e-05
gene_110,4.62499e-05
gene_111,1.47709725e-05
gene_112,2.5961861e-05
gene_113,1.8590326e-05
gene_114,2.5355257e-06
gene_115,1.7546176e-05
gene_116,3.967668e-05
gene_117,4.681615e-05
gene_118,4.7107424e-06
gene_119,4.468998e-05
gene_120,1.0567932e-05
gene_121,3.8536306e-05
gene_122,1.9916479e-07
gene_123,8.480834e-06
gene_124,2.9373325e-05
gene_125,2.9879246e-05
gene_126,4.6143603e-05
gene_127,1.8145136e-05
gene_128,2.7566792e-05
gene_129,2.8362618e-05
gene_130,1.765829e-05
gene_131,3.385856e-05
gene_132,5.648739e-05
gene_133,5.5755074e-05
gene_134,3.0894214e-05
gene_135,3.623581e-05
gene_136,3.264732e-05
gene_137,1.4043504e-05
gene_138,1.5821472e-05
gene_139,2.7458133e-05
gene_140,9.525065e-07
gene_141,2.6295278e-05
gene_142,3.6831534e-05
gene_143,4.229577e-05
gene_144,4.052506e-05
gene_145,3.1904783e-06
gene_146,4.5974113e-05
gene_147,3.893579e-05
gene_148,4.2663698e-05
gene_149,4.7641457e-05
gene_150,4.4466913e-05
gene_151,4.141468e-05
gene_152,3.582199e-05
gene_153,2.037733e-05
gene_154,2.913965e-05
gene_155,1.4521156e-05
gene_156,1.9016003e-05
gene_157,9.944837e-06
gene_158,4.4221397e-05
gene_159,3.5748762e-05
gene_160,4.1502488e-05
gene_161,3.511343e-05
gene_162,3.5324745e-05
gene_163,3.36759e-05
gene_164,1.4825004e-05
gene_165,8.846997e-06
gene_166,5.6128145e-05
gene_167,3.5014018e-05
gene_168,4.7545283e-05
gene_169,4.4923643e-05
gene_170,2.0321138e-05
gene_171,5.0945197e-05
gene_172,9.383526e-06
gene_173,2.750945e-06
gene_174,2.0207299e-05
gene_175,4.173057e-05
gene_176,3.87977e-06
gene_177,2.272717e-05
gene_178,4.6374444e-05
gene_179,4.9403818e-05
gene_180,3.8715512e-05
gene_181,5.975191e-06
gene_182,2.8365052e-05
gene_183,4.3081287e-05
gene_184,3.3079305e-05
gene_185,3.806069e-05
gene_186,4.0254035e-05
gene_187,3.6410805e-05
gene_188,2.5144982e-06
gene_189,3.323422e-05
gene_190,2.5858699e-05
gene_191,3.7733094e-05
gene_192,8.2116785e-06
gene_193,2.778376e-05
gene_194,1.9793111e-05
gene_195,2.6257498e-05
gene_196,1.645002e-05
gene_197,3.7093097e-05
gene_198,4.1216554e-06
gene_199,7.765604e-06
gene_200,5.1241623e-05
gene_201,3.3115397e-05
gene_202,2.9952207e-07
gene_203,3.153888e-05
gene_204,6.70776e-06
gene_205,1.750169e-05
gene_206,4.1931868e-05
gene_207,2.7911083e-06
gene_208,1.8742609e-05
gene_209,3.5975743e-05
