feature,weight
gene_0,0.0022827557
gene_1,0.021332454
gene_2,0.014782459
gene_3,0.007489549
gene_4,0.043596495
gene_5,0.0052017905
gene_6,0.016592367
gene_7,0.012126496
gene_8,0.013478695
gene_9,0.015616666
gene_10,0.013668881
gene_11,0.016875036
gene_12,0.0028238096
gene_13,0.015030746
gene_14,0.0060576843
gene_15,0.007678286
gene_16,0.012371994
gene_17,0.0049892757
gene_18,0.12392112
gene_19,0.01843388
gene_20,0.022223277
gene_21,0.009681459
gene_22,0.0063776914
gene_23,0.0003583748
gene_24,0.0002763161
gene_25,0.007833031
gene_26,0.04268249
gene_27,0.0012341238
gene_28,0.059370767
gene_29,0.023481406
gene_30,0.30372515
gene_31,0.0043648286
gene_32,0.016175268
gene_33,0.074514955
gene_34,0.020606527
gene_35,0.0105683515
gene_36,0.045233093
gene_37,0.00029590874
gene_38,0.010707963
gene_39,0.015958335
gene_40,0.0072594876
gene_41,0.0026810628
gene_42,0.01288954
gene_43,0.020720128
gene_44,0.027156863
gene_45,0.021665039
gene_46,0.13546848
gene_47,0.0050453506
gene_48,0.006874857
gene_49,0.041364748
gene_50,0.008049349
gene_51,0.006342674
gene_52,0.004658603
gene_53,0.009988306
gene_54,0.016340546
gene_55,0.0121545475
gene_56,0.007470861
gene_57,0.0014497004
gene_58,0.05589821
gene_59,0.02144835
gene_60,0.028704397
gene_61,0.122241065
gene_62,0.060624678
gene_63,0.022728981
gene_64,0.009505968
gene_65,0.01769149
gene_66,0.036755037
gene_67,0.047698647
gene_68,0.004483636
gene_69,0.024088133
gene_70,0.0014046819
gene_71,0.049117688
gene_72,0.005988414
gene_73,0.022180285
gene_74,0.00036326316
gene_75,0.011836865
gene_76,0.0068714097
gene_77,0.008252606
gene_78,0.011494498
gene_79,0.01029043
gene_80,0.008020867
gene_81,0.08782308
gene_82,0.028515294
gene_83,0.40539563
gene_84,0.072100915
gene_85,0.03702252
gene_86,0.0039057094
gene_87,0.01638368
gene_88,0.1046833
gene_89,0.03274901
gene_90,0.0466906
gene_91,0.0038487792
gene_92,0.026443556
gene_93,0.04259304
gene_94,0.5115163
gene_95,0.035086486
gene_96,0.013557732
gene_97,0.030521093
gene_98,0.085645676
gene_99,0.0058268346
gene_100,0.0130655505
gene_101,0.021141164
gene_102,0.004082845
gene_103,0.0002512051
gene_104,0.022579152
gene_105,0.053081837
gene_106,0.00166635
gene_107,0.009372386
gene_108,0.015306627
